country_name,urban_population,gross_domestic_product,net_migration,urbanization_rate,migration_trend
Nauru,11875.0,154170289.32186,-148.0,100.0,Net Outflux
Qatar,2638874.0,213002809330.26675,39995.0,99.354,Net Influx
Belgium,11573953.0,644782756682.7565,41679.0,98.189,Net Influx
Uruguay,3244799.0,77240830877.45967,-1501.0,95.771,Net Outflux
Malta,524784.0,22328640241.5553,6591.0,94.94109,Net Influx
Iceland,369913.0,31325116556.38074,4630.0,94.04193,Net Influx
Netherlands,16657719.0,1154361305398.0596,144558.0,93.179,Net Influx
Israel,9059393.0,513611100815.69104,9999.0,92.854,Net Influx
Argentina,42106172.0,646075277525.1245,4133.0,92.463,Net Influx
Luxembourg,613635.0,85755006123.5976,5905.0,92.07794,Net Influx
Japan,114608860.0,4204494802431.5537,175003.0,92.043,Net Influx
Jordan,10526364.0,50967475352.11268,-17445.0,92.02,Net Outflux
Gabon,2261879.0,19388402541.66978,987.0,91.02902,Net Influx
Lebanon,5127646.0,20992421948.80809,-27507.0,89.262,Net Outflux
Sweden,9349997.0,584960475767.3202,55209.0,88.738,Net Influx
Denmark,5262755.0,407091920305.4043,31006.0,88.495,Net Influx
"Venezuela, RB",26667155.0,482359318767.7031,-62437.0,88.144,Net Outflux
Chile,17302134.0,335533331669.2191,62679.0,88.012,Net Influx
Brazil,185356223.0,2173665655937.2737,-240059.0,87.788,Net Outflux
United Arab Emirates,9202532.0,514130432653.08105,300004.0,87.779,Net Influx
Australia,23091181.0,1728057316695.6077,140232.0,86.617,Net Influx
Finland,4789488.0,295532341254.9072,38156.0,85.773,Net Influx
United Kingdom,57852807.0,3380854520809.537,445523.0,84.642,Net Influx
Dominican Republic,9568800.0,121444279313.9308,-34915.0,84.446,Net Outflux
Norway,4636183.0,485310823603.662,53806.0,83.995,Net Influx
United States,278977409.0,27720709000000.0,1322668.0,83.298,Net Influx
Costa Rica,4218287.0,86497941439.01744,995.0,82.622,Net Influx
Colombia,43088562.0,363493841244.3033,154521.0,82.354,Net Influx
Canada,32824829.0,2142470914401.3567,433842.0,81.862,Net Influx
France,55843458.0,3051831611384.76,91862.0,81.777,Net Influx
Mexico,105844290.0,1789114434843.4631,-101044.0,81.582,Net Outflux
Spain,39428688.0,1620090734956.891,119099.0,81.552,Net Influx
"Korea, Rep.",42123031.0,1712792854202.369,87800.0,81.456,Net Influx
Belarus,7409732.0,71857382745.6066,-3034.0,80.731,Net Outflux
Greece,8394500.0,243498333237.8024,-159430.0,80.673,Net Outflux
Peru,26711638.0,267603248655.2527,24783.0,78.922,Net Influx
Marshall Islands,30622.0,259300000.0,-1832.0,78.8678,Net Outflux
Malaysia,27650017.0,399705169318.47705,181071.0,78.716,Net Influx
Djibouti,905661.0,4098530513.55777,500.0,78.55204,Net Influx
Germany,64762692.0,4525703903627.531,609553.0,77.765,Net Influx
West Bank and Gaza,4007712.0,17420800000.0,-24996.0,77.58201,Net Outflux
Turkiye,66096052.0,1118252964260.773,-318070.0,77.463,Net Outflux
"Iran, Islamic Rep.",70001569.0,404625655204.6192,262044.0,77.257,Net Influx
Bulgaria,4944604.0,102407653020.6062,5173.0,76.70101,Net Influx
Sao Tome and Principe,176388.0,678976264.83544,-592.0,76.40111,Net Outflux
El Salvador,4757015.0,34015620000.0,-23253.0,75.393,Net Outflux
Russian Federation,108345662.0,2021421476035.417,27807.0,75.331,Net Influx
Algeria,34746884.0,247626161016.4145,-25963.0,75.268,Net Outflux
Czechia,8099361.0,343207874553.7345,-14638.0,74.552,Net Outflux
Switzerland,6595143.0,884940402230.4088,45098.0,74.202,Net Influx
Botswana,1807279.0,19396084498.00841,-6487.0,72.86698,Net Outflux
Hungary,6989250.0,212388906458.724,49213.0,72.864,Net Influx
Italy,42459374.0,2300941152991.805,150189.0,71.973,Net Influx
Iraq,32272568.0,250842782139.46417,-5710.0,71.599,Net Outflux
Bolivia,8716127.0,45135398008.81664,-3008.0,71.186,Net Outflux
Tunisia,8606672.0,48529595416.65326,-14001.0,70.544,Net Outflux
Ukraine,26448831.0,178757021965.0084,-299961.0,70.095,Net Outflux
Estonia,956597.0,41291245222.19485,5717.0,69.81003,Net Influx
Panama,3099373.0,83318176900.0,7262.0,69.51201,Net Influx
"Congo, Rep.",4277814.0,15321055822.5167,-995.0,69.18799,Net Outflux
Mongolia,2405088.0,20325121393.90737,0.0,69.08899,Stable Migration
South Africa,43502131.0,380699271814.5082,228222.0,68.819,Net Influx
Lithuania,1972607.0,79789877416.16808,44935.0,68.69401,Net Influx
Angola,25242775.0,84824654481.72493,-995.0,68.688,Net Outflux
Latvia,1289260.0,42247850064.51251,7966.0,68.67099,Net Influx
Montenegro,422094.0,7530593375.22034,12000.0,68.50207,Net Influx
Cabo Verde,355091.0,2533819406.4916,-1226.0,67.98199,Net Outflux
Portugal,7183215.0,289114289663.5424,29102.0,67.906,Net Influx
Cyprus,900959.0,33886930712.33943,8697.0,66.98699,Net Influx
Suriname,417649.0,3455146280.83975,-988.0,66.41092,Net Outflux
Tuvalu,6502.0,62280311.58522,-323.0,66.23879,Net Outflux
